author,year,studlab,country,studdes,arms,hypothesis,data_treatment,"comparison (PMT, CDT, MT or BMT)",device,IVUS_use,anticoag,anticoag_duration,antiplatelet,antiplatelet_duration,compression,compression_duration,symptom_duration,"age (mean, range)",F_M,BMI,provocation_factors,n,n_limbs,n_int,n_control,n_angioplasty,%_angioplaty,n_stent,%_stent,n_patency_details,n_patency_1o,patency_1o_fu,n_patency_2o,patency_2o_fu,lysis_success_definition,lysis_efficacy,PTS_at_fu,PTS_fu_length,PTS_int,PTS_modsev_int,PTS_sev_int,PTS_ulcer_int,PTS_6,PTS_modsev_6,PTS_12,PTS_24,bleeding_maj_int,peri_op_rethrombosis,rethrombosis_int,treatment_related_mort_int,PTS_control,PTS_modsev_control,PTS_sev_control,PTS_ulcer_control,PTS_6_cont,PTS_6_modsev_cont,PTS_12_cont,PTS_24_cont,bleeding_maj_control,rethrombosis_control,treatment_related_mort_control,Funding,Mean follow up,Link
Pouncey et al. ,2020,Pouncey 2020,UK,Retrospective cohort study ,Comparative ,Outcomes of PMT + CDT vs CDT alone,Taken as single arm,PMT + CDT vs CDT alone,AngioJet ,Yes,Oral anticoagulation ,Decision led by haematology,Not stated,Not stated,Graduated compression stocking provided in accordance with CHEST guidance ,As per CHEST guidance,"5 (1–28) in PMT group, 4 (1–28) in CDT group","51 (16–80) in PMT group, 44 (14–70) in CDT group", 74 : 65,"28.2 (19–38.1) in PMT group, 26.5 (17.0–46.7) in CDT group","Smoking (n=28), trauma (n=9), malignancy (n=10), postpartum (n=7), thrombophilia (n=37) ",136,,136,,,,119,0.875,"At one year there was no difference in observed cumulative patency at 85.4% for PCDT vs. 80.3% for CDT. However, from the Kaplan Meier curves presented it was not possible to extract the patency outcomes. ",,,,,"Successful lysis completion was determined as > 90% successful clot removal, as defined by venographic criteria. The authors also state partial success <90% but do not explicitly specify how these differ from failiure. ",Lytic success in 122 participants,32/136 (23.5%),12,32,9,4,,35,9,32,,3,,,,,,,,,,,,,,,"Stephen Black has received consultancy fees from BSCI, Phillips-Volcano, Cook, Medtronic, Ekos-BTG, Optimed, Vesper, Veryan, Vetex, BD-Bard, and Bayer.",12 months,https://www.ejves.com/article/S1078-5884(20)30423-8/fulltext#tbl2
Rodoplu et al. ,2020,Rodoplu 2020,Turkey,Retrospective cohort study ,Single arm,PMT,Single study arm,PMT,Cleaner,Not stated,"LMWH, then Warfarin",Not stated,Not stated,Not stated,Compression stockings at least for 3_months,Not stated,7.2 ± 5.6 days (range: 1–14 days),45.7 ± 18.9 years (range: 22–78 years), 50 : 32,Not stated,Not stated,54,,54,,,0.085365854,,0,50% lysis of thrombus in 81 patients (98.7%) with single session of PMT detected with control venograms at the end of the procedure. In 75 patients (91.6%) Grade III lysis (complete resolution) was achieved. Grade II lysis was observed in 6 patients (7.3%). Only 1 case (1.2%) had been non-responsive to balloon angioplasty and catheter directed thrombolysis (Grade I),,,,,"Grade III was defined the complete thrombolysis. While Grade I lysis was defined as an extent of thrombus resolution less than 50%, Grade II was defined as 50%–99% resolution",Grade II lysis in 81/82 (98.7%) ; Grade III lysis in 75/82 (91.6%),"7 at 3 months, 19 at 6 months, 18 at 12 months ",12,18,9,2,,19,8,18,,0,,1,,,,,,,,,,,,,"The author(s) received no financial support for the research, authorship, and/or publication of this article.",12 months,https://journals.sagepub.com/doi/10.1177/0268355520966880
Sharifi et al.,2010,TORPEDO,USA,RCT,Comparative,Percutaneous endovascular intervention and anticoagulation versus anticoagulation alone,Intervention and control  arms included,PMT vs BMT,"AngioJet, Trellis",Not stated,Warfarin,Not stated,Not stated,Not stated,thigh-high-graded compression stockings at 30–40 mm Hg,6 months or more ,5 days,61 ± 11.3 in intervention group versus 61 ± 10.2 control group,In full cohort 90 : 103 ,Not stated,"In full cohort, smoking (n=17), surgery or trauma (n=24), hormone therapy (n=11), malignancy (n=20)",147,Not stated,76,71,68,0.462585034,27,0.183673469,,,,,,The goal of PEVI was to restore streamline flowfrom the popliteal vein to the unobstructed portion ofIVC and to extract or lyse as much thrombus as possi-ble.,Technical success was achieved in all patients irrespective of the used devices,,6,3,0,0,,3,0,,,1,,,0,22,8,3,,22,8,,,0,,0,Not stated,6 months,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ccd.22638
Thony et al. ,2023,Thony 2023,France,Retrospective cohort study ,Single arm,Outcomes following pharmacomechanical thrombectomy ,Single study arm,PMT,"Slow rotation with large tip (SRD) (PTD-Arrow-Trerotola; Teleflex, Inc., Wayne, PA, USA)",Not stated,"Oral anticoagulation (warfarin, acenocoumarol, apixaban, rivaroxaban)",6 months,Aspirin 75-160mg/d) ,1 month,Not stated,Not stated,8.0 ± 5.8 (range 1-30),45 ± 20 (range 13-91),In full cohort 164 : 113,Not stated,"Immobilisation (n=66), OCP (n=35), surgery (n=22), pregnancy/post-partum (n=23), medical disease - APS/bechet/other - (n=27), inherited thrombophilia (n=33), malignancy (n=14), May-Thurner syndrome (n=136), congenital atresia of IVC (n=28), post-thrombotic venous lesions (n=29), venous stenosis or compression (n=31)",181,,181,,,,,,The patency rate at discharge (96.8%) was 87.7% after one intervention,0.896,232,0.958,248,The procedure had to completely clear the main venous access from thrombus. Recanalisation was checked the following day and the patient was discharged if good-quality flow was observed at the iliofemoral level and the patient clinically improved,"A total (no thrombotic load) or subtotal (thrombotic load <10%) clearance of the venous thombosis was obtained at 96.1% of LET 3-4 locations, and 91% of LET 2 locations","156/181 patients had a Villata score <4, giving a PTS rate (Villata >4) of 13.8% at 12 months",12,25,7,,,,,25,,2,34,,1,,,,,,,,,,,,Nil,12 months ,https://www.deepdyve.com/lp/springer-journals/endovascular-thrombectomy-for-acute-iliofemoral-deep-venous-thrombosis-Lza1akpeGD?
Tichelaar et al.,2016,Tichelaar 2016,Norway,Retrospective cohort study ,Comparative,Ultrasound accelerated CDT vs CDT,Taken as single arm,CDT,"EKOS EkoSonic® Endovascular System with MACH 4e or Multiple side hole catheter (UNI-FUSE, AngioDynamics or Cragg-McNamara® Valved Infusion Catheter)",Not stated,Warfarin,"One year, or indefinitely if stent implantation ",Not stated,Not stated,Used but not specified in what number,Not stated,"In group 1 4.0 (1.0–7.0) days vs 
3.0 (1.0–9.0) days in group 2",49.5 (34.0–62.3) in group 1 vs  34.0 (21.5–57.0) in group 2, 29 : 57 ,Not stated,"Surgery (n=10), trauma (n=7), immobilisation (n=2), malignancy (n=10), puerperium (n=6), hormone use (n=19), obesity (n=24), thrombophilia (n=6),  previous VTE (n=17)",95,,68,,88,0.926315789,44,0.463157895,"Complete patency 79 (CDT) vs. 76 % (USCDT). Stenosis in 3 patients, occlusion in 9 patients. ",,89 months in CDT vs 34 months in USCDT ,,,"Thrombus removal was classified as Grade I (<50%), II (50–95%), or III (>95%) based on the findings on the venogram. By  extension of the definition, grade I lysis was considered as a failure",,Assessed at a range of different follow up times given as 89 months in the CDT group (range 15–141) and 34 in the USCDT group (range 17–51),34,37,10,6,,,,,,5,2,1,,,,,,,,,,,,,Not stated,89 months in onegroup and 34 months in another ,https://link.springer.com/article/10.1007/s00270-016-1367-5#author-information
Wang et al.,2018,Wang 2018,China,Retrospective cohort study ,Single arm,CDT,Single study arm,CDT,"4F infusion catheter (Uni*Fuse; AngioDynamics, Latham, NY) with multiple holes ",No,Warfarin,3 months or more ,Not stated,Not stated,graduated elastic compression stockings (30-40 mm Hg),12 months or more ,"5.76 days (range, 1-14 days)","54.55 years (range, 21-70 years)", 69 : 56,Not stated,"Surgery (n=17), trauma (n=15), malignancy (n=13), immobillity (n=10), steroids (n=3), thrombophilia (n=7), smoking (n=60)",97,,97,,,,56,0.577319588,The overall patency rate was 83.51% (81/97) during follow-up,,,0.8351,19,"Thrombus removal was classified as Grade I (<50%), II (50–95%), or III (>95%) based on the findings on the venogram. By  extension of the definition, grade I lysis was considered as a failure",Successful lysis (grade II and III lysis) was achieved in 92.37% (109/118) of patients,21 patients,19,21,7,1,1,,,,,3,3,8,0,,,,,,,,,,,,This study was funded by National Natural Science Foundation of China (Grant No. 81470583).,"A total of 97 patients were followed up for a median of 19.39 ± 7.47 months (range, 6-32 months)",https://www.sciencedirect.com/science/article/pii/S2213333X18302439
Wortmann et al.,2023,Swiss Venous Stent Registry,Switzerland,Prospective cohort study,Comparative," clinical characteristics and outcomes of patients undergoing early thrombus removal focusing on peri-interventional bleeding, long-term vessel patency and occurrence of PTS",Taken as single arm,PMT vs CDT vs CDT with bail out PMT,"PMT = AngioJet ZelanteDVTTM catheter, CDT = EKOS catheter",Used selectively with the 83 patients undergoing EKOS,"vitamin K antagonists or direct oral anticoagulants (rivaroxaban, apixaban, or dabigatran)",Not stated,Not stated,Not stated,Not stated,Not stated,<14 days,mean 49 ± SD 20, 93 : 66,Not stated,"Immobilisation (n=50), OCP/oestrogen therapy (n=41), previous VTE (n=35), chronic venous disease (n=24), major surgery (n=14), trauma (n=12), rheumatic disease (n=6), active cancer (n=6)",159,,159,,,,157,0.987421384,"The primary patency rate at 36 months was 85% (95%CI 79-91%): it was 92% (95%CI 83-100%) in the PMT alone group, 84% (95%CI 75-93%) in the CDT alone group, and 81% (95%CI 68-94%) in the CDT+PMT group",0.85,135,0.97,155,Primary treatment success was defined as antegrade flow and maximal luminal stenosis of 30 % assessed on the final procedural venography and evidence of a spontaneous Doppler signal in the treated vein segment,5 patients developed early stent occlusion at 7 days,,35,12,2,0,0,,,,,2,7,18,,,,,,,,,,,,,University of Zurich,median follow-up was 35 (IQR 13-61) months,https://econtent.hogrefe.com/doi/full/10.1024/0301-1526/a001097?rfr_dat=cr_pub++0pubmed&url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org#tbl3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
